divipola_key;numero_contratos;inversion_publica_total
05284;394;39769035296
70670;1876;39608371051
25513;1049;39532210802
19318;22;39345390359
50150;1132;39181999283
05002;942;38925091253
68615;972;38902320860
05400;443;38651906853
13654;763;38556128475
68190;1110;38302592647
18410;606;37790119490
15425;428;37732771708
25295;627;36956931590
63272;1464;36868226720
20032;765;36838628032
47555;3373;36440721985
13442;713;35877351511
15533;528;35478171114
86865;956;34831419092
15442;512;34031617447
41524;413;33968495083
25769;739;33697844905
15204;561;33695850773
15755;588;33595016434
15087;421;33101896530
41006;769;32699774683
25297;902;32510150153
05093;628;32476860812
25040;711;31171867202
19290;691;30892393503
41530;1758;30844379432
76113;724;30840007856
41013;619;30707663416
76890;805;30638201055
08421;727;30449989658
73055;787;30150731755
18029;446;30104416299
73678;176;29837468702
52696;215;29485294508
15763;542;28835705564
25099;822;28804311148
50313;133;28286622141
13052;511;28014905684
63690;1361;27982287895
05282;477;27555290977
15681;497;27527639787
17495;1121;27433787276
05543;496;27104096248
17867;1160;27054348093
25793;599;26878782886
76126;892;26600072556
25645;1107;26579304217
68077;553;26541517424
15542;612;26279887248
17486;340;26093250426
68689;475;25223425167
05240;418;25222683204
08520;415;25068334310
19785;684;24841662402
15183;429;24599083995
23350;408;24574944403
05031;855;24569251353
15757;324;24451128413
85300;608;24132687274
15550;604;23720498662
25491;591;23576099375
41026;679;23553444928
15790;427;23428481577
95200;415;23356303661
68745;626;23121194006
25001;905;23010822385
05790;306;22977936117
15218;373;22935261129
20570;13;22906752965
25718;616;22891125919
15185;467;22888489973
54520;627;22451102171
25224;852;22289775921
41660;707;22274656854
23855;407;22227144510
15494;688;22174193021
05809;701;22129204336
25183;727;21859041949
52385;997;21849340739
76306;689;21834731591
41518;559;21569557029
70508;2;21521431547
15466;144;21467606338
66088;424;21444123320
05895;300;21385928766
15676;45;21074758881
41078;552;21018142618
17777;446;20937785085
15686;526;20899029395
15244;422;20707564682
25486;686;20419715112
05086;354;20408806671
15403;573;20011509649
68464;523;20009113275
68770;223;19958845107
13140;1911;19935122849
25745;697;19934728921
15638;376;19881669909
25407;566;19880365960
15835;150;19880047297
23660;320;19854670023
47245;2591;19835327684
15690;349;19746737603
18205;442;19291242757
70713;1075;19117740657
85139;519;19025732270
25260;643;19006530809
15761;374;18992483528
25299;519;18848308514
15822;475;18696514058
13468;401;18635303123
05091;305;18395003719
25019;524;18340606422
25658;549;18073888792
52560;2245;17602033760
15097;438;17333364525
68229;628;17315715196
13670;147;17003169607
05664;597;16745350532
15224;405;16663717724
18256;254;16659200590
15293;351;16532642819
17524;332;16379267938
54743;408;16249906368
05576;457;16197611224
73671;1169;15871758533
50287;977;15727181447
25530;837;15681315090
15272;422;15643392973
41306;279;15595944293
44560;53;15590978476
81065;11;15547505045
05306;302;15523872391
18460;56;15418843570
05120;15;15367162465
08634;204;15362026730
15131;319;15239214568
15215;478;15226067412
15720;344;15188712514
15693;248;14971041389
41807;521;14920676898
41020;227;14892130670
25599;465;14891459253
13667;132;14813054254
76606;370;14719161457
15106;379;14657599237
15212;423;14441683216
73347;720;14364002745
63548;499;14318934388
20060;1250;14221871776
15362;378;14207681293
68079;375;14178238486
15762;361;14155057473
76403;311;14110354322
73504;503;13987120403
68322;284;13889087114
20175;29;13805471611
05145;234;13788617244
68500;393;13699221171
25772;351;13578174691
25148;376;13469990142
85162;555;13435985574
20295;222;13282353366
15673;292;13274445448
15090;343;13186653108
76020;304;12929033490
25322;334;12730672917
05347;390;12696567387
66045;306;12664296152
25426;376;12623038556
15600;172;12407533230
05044;306;12370987510
68255;645;12230236396
15740;44;12178925175
76497;400;12160874682
05604;331;12125317910
23182;20;11906678294
76895;808;11888991104
15580;23;11824283845
15516;618;11726659976
15660;332;11654370173
15092;318;11640008461
68444;425;11521500323
44035;23;11505807778
