divipola_key,anio_key,prov_solo_i,prov_solo_ii,prov_union,suma_naiva,doble_conteo
76377,2025,3,13,16,16,0
76400,2025,7,1,8,8,0
76403,2025,2,6,8,8,0
76520,2025,1,7,8,8,0
76563,2025,4,0,4,4,0
76577,2025,14,37,51,51,0
76606,2025,2,0,2,2,0
76616,2025,3,8,11,11,0
76622,2025,2,13,15,15,0
76670,2025,0,5,5,5,0
