anio_key,HHI_promedio,HHI_mediana,mercados,total_contratos,inversion_total
2018,1221.8693590799878,669.6504291062258,1258,1083791,100822204295944
2019,1405.875778788921,792.1455402905376,1273,1182159,133474070763724
2020,1040.5653851613308,460.4463845900534,1296,1127055,100413251174366
2021,1121.2590774741127,582.2061889074074,1313,1283497,134419352308582
2022,1373.0186512622163,667.2936244148495,1361,1092707,166478691184682
2023,1483.8919727037617,768.9475722748347,1321,960198,113412630050344
2024,1114.1031204391984,515.5479364193875,1324,954524,106928681572568
2025,1484.0720010844027,680.5934667662791,1354,1041632,155182928591978
2026,1422.4977679954688,701.3524745228068,1292,503992,50513496564362
