anio_key,nombre_departamento,divipola_departamento,HHI_promedio,HHI_mediana,mercados,total_contratos,inversion_total
2018,Atlántico,08,2871.2518168468982,1757.835259029626,25,23129,2417325664997
2018,Magdalena,47,2279.1484828610523,1531.5692201887362,31,25185,1892551510913
2018,Guainía,94,2109.9455738500424,2109.9455738500424,2,1422,114573997091
2018,Chocó,27,2078.2445318556415,1364.131885070466,29,4668,394311775512
2018,Córdoba,23,2033.820700571626,1001.1922962958031,31,15974,1425969464714
2018,Arauca,81,1929.518127633403,973.0468868149962,10,13781,670420019162
2018,Bolívar,13,1906.1093050562195,1106.3636414526918,49,27693,1796380882475
2018,Guaviare,95,1883.0770233163146,593.313941482385,7,4779,139501261919
2018,Putumayo,86,1576.0566517509114,1122.7901176874634,9,3848,155578930777
2018,Amazonas,91,1499.9941780119746,1434.6814681483186,4,3540,139584140382
2018,Vaupés,97,1462.9949071530154,816.2960511754814,4,1725,116229014228
2018,Vichada,99,1424.7956448617601,953.2904032527192,5,3342,166088346716
2018,Sucre,70,1405.0816023943169,1080.6744829468037,35,15122,870767410365
2018,Cesar,20,1319.6374983641867,928.5706608988322,27,13487,1266162903661
2018,Valle del Cauca,76,1304.3107786391597,578.6107230775203,54,84692,4654841312501
2018,Boyacá,15,1265.2154261477021,673.5583598248863,137,39224,2205075972046
2018,Cauca,19,1196.4291559874123,630.9993896802832,43,22366,2595250179274
2018,Casanare,85,1141.24856923511,673.6413108338038,21,17572,1234006281905
2018,La Guajira,44,1122.3797205690735,861.7649855916214,17,9751,836849860970
2018,Nariño,52,1096.4866772067244,607.0051528860779,72,58193,1481066402610
2018,Antioquia,05,1087.4605980882159,601.2434526124226,145,167672,12588886680301
2018,Cundinamarca,25,1070.6505293760206,660.6942726244085,143,65164,2997957744652
2018,Huila,41,1038.7259843950565,649.2178581655603,48,29325,1388564896009
2018,Norte de Santander,54,958.2594762470316,496.44949075973744,41,14250,409913831166
2018,Meta,50,893.1337372111886,707.7325363048112,34,29278,2002087601264
2018,Tolima,73,882.4401590139103,432.84420353386463,52,32215,1003527643918
2018,Risaralda,66,851.8812182226563,435.41545124929235,19,20924,889351373511
2018,Santander,68,768.4303837306935,559.8670732008924,94,52791,2675962822936
2018,Caquetá,18,686.2400297261393,548.6760973982239,18,8557,405549989977
2018,Quindío,63,578.1771082347062,400.43808259184556,17,20194,461618507319
2018,Caldas,17,559.0038724508042,312.0223935463426,32,33521,2545303273403
2018,Bogotá,11,471.2961807328233,359.2814809924629,3,220407,48880944599270
2019,Chocó,27,3490.086325212984,2587.0710045531537,30,4385,591547887961
2019,Bolívar,13,2365.4125826703785,1504.747313717034,51,31755,2104874036854
2019,Córdoba,23,2070.924591022214,1031.1566100815853,32,15741,3113418313261
2019,Atlántico,08,1919.1525001876205,1373.0179958627107,26,21329,3129477926560
2019,Quindío,63,1864.4945937026084,1169.7478569059151,17,24534,1831010920132
2019,Putumayo,86,1789.9238525199974,1274.664140334312,11,4460,209838688989
2019,Tolima,73,1629.6903978959972,781.5961169296163,54,33341,1622977372409
2019,Arauca,81,1612.6031804958754,1077.0177250870704,10,10928,679428849769
2019,Amazonas,91,1551.4388664387966,761.2320820980492,4,3888,150327475973
2019,Boyacá,15,1522.0715376122293,833.2067943521803,147,45632,3022922038836
2019,La Guajira,44,1511.0208710236113,1188.2682525439511,17,12359,5318335969420
2019,Cauca,19,1474.550510558702,903.3906514317091,42,22720,1703453341920
2019,Magdalena,47,1422.3465153959157,810.008698386184,30,32212,1340530001739
2019,Meta,50,1407.014934992145,936.801725207257,34,31528,2567125959990
2019,Guainía,94,1357.1479977565311,1357.1479977565311,2,1374,174159771881
2019,Nariño,52,1346.8491463832443,764.4951619660801,72,65914,2419894364088
2019,Sucre,70,1305.3115592712195,876.5745657166522,34,16131,904652176077
2019,Cesar,20,1300.9224168846301,1057.4039996069826,27,13460,1309488983108
2019,Norte de Santander,54,1271.3474951957191,800.1470014477657,42,17760,621930640611
2019,Guaviare,95,1208.642785061632,983.3572960370186,6,4740,304461118565
2019,Cundinamarca,25,1207.8109780951083,663.2399906045991,142,68953,4487116049615
2019,Caquetá,18,1157.1264262422897,566.6977105484771,18,8509,620472258134
2019,Casanare,85,1130.8381736846902,774.0280472893385,21,17511,1605114331670
2019,Huila,41,1128.8002508921552,687.1572349640754,49,29079,2098890463497
2019,Santander,68,1098.4710576741563,632.2620369170656,95,54892,13144786765694
2019,Antioquia,05,1087.112759950496,740.342185873435,145,178331,14783392465176
2019,Caldas,17,1045.4026936868124,379.78068249108844,32,34320,1940596432476
2019,Risaralda,66,972.8582326694847,510.8001662075369,19,23144,934961547348
2019,Valle del Cauca,76,965.9537602346859,524.0623326422342,52,93678,5399538436145
2019,Vichada,99,964.6704011353289,618.9862314342615,5,3205,176409917631
2019,Vaupés,97,666.3021078776947,570.8255787313976,4,1715,227939831683
2019,Bogotá,11,567.3553903906084,485.485746721658,3,254631,54934996426512
