anio_key,divipola_key,nombre_municipio_referencia,nombre_departamento,orden_entidad,HHI,nivel_concentracion,total_contratos,total_proveedores,inversion_total
2018,05761,Sopetrán,Antioquia,NACIONAL,10000.0,alta,1,1,57806000
2018,08573,Puerto Colombia,Atlántico,NACIONAL,10000.0,alta,1,1,27430000000
2018,13838,Turbaná,Bolívar,NACIONAL,10000.0,alta,1,1,140000000
2018,15223,Cubará,Boyacá,NACIONAL,10000.0,alta,1,1,147453105
2018,15232,Chíquiza,Boyacá,TERRITORIAL,10000.0,alta,1,1,175264098
2018,23678,San Carlos,Córdoba,TERRITORIAL,10000.0,alta,1,1,90000000
2018,25535,Pasca,Cundinamarca,NACIONAL,10000.0,alta,1,1,6000000
2018,25718,Sasaima,Cundinamarca,NACIONAL,10000.0,alta,1,1,3500000
2018,47001,Santa Marta,Magdalena,OTRO,10000.0,alta,1,1,16000000
2018,52378,La Cruz,Nariño,NO_DEFINIDO,10000.0,alta,1,1,2640000
2018,70418,Los Palmitos,Sucre,NACIONAL,10000.0,alta,1,1,250000000
2018,76130,Candelaria,Valle del Cauca,OTRO,10000.0,alta,1,1,2100000
2018,76834,Tuluá,Valle del Cauca,NACIONAL,10000.0,alta,1,1,2939030
2018,95200,Miraflores,Guaviare,NACIONAL,10000.0,alta,1,1,19439750
2018,15755,Socotá,Boyacá,NACIONAL,9813.751786926243,alta,7,2,1063740906
2018,41020,Algeciras,Huila,TERRITORIAL,9660.101302053119,alta,442,245,317467539278
2018,25307,Girardot,Cundinamarca,NACIONAL,9275.935465688217,alta,51,20,23305303210
2018,27075,Bahía Solano,Chocó,TERRITORIAL,9263.505327375602,alta,8,5,3303963270
2018,23300,Cotorra,Córdoba,TERRITORIAL,8899.137005899805,alta,282,207,123205416382
2018,19110,Buenos Aires,Cauca,TERRITORIAL,8079.780929356318,alta,445,214,111349854478
2018,23090,Canalete,Córdoba,TERRITORIAL,7977.283999173021,alta,5,5,4526032405
2018,13030,Altos del Rosario,Bolívar,TERRITORIAL,7899.867529031765,alta,22,18,4961676927
2018,76563,Pradera,Valle del Cauca,TERRITORIAL,7753.797378510184,alta,283,204,127447445532
2018,13810,Tiquisio,Bolívar,TERRITORIAL,7528.990877080768,alta,15,11,2592485636
2018,05034,Andes,Antioquia,TERRITORIAL,7403.8732474553635,alta,666,421,191697003308
2018,08421,Luruaco,Atlántico,TERRITORIAL,7375.435331403956,alta,195,120,15338269036
2018,05467,Montebello,Antioquia,NACIONAL,7140.134755822556,alta,3,3,23077001
2018,08001,Barranquilla,Atlántico,NACIONAL,7064.606293586358,alta,988,757,380859284777
2018,05690,Santo Domingo,Antioquia,NACIONAL,6686.320977425899,alta,81,58,2993148897
2018,52019,Albán,Nariño,TERRITORIAL,6515.451061059033,alta,359,198,26982006145
2018,66170,Dosquebradas,Risaralda,NACIONAL,6384.417560127058,alta,4,4,77771058
2018,27361,Istmina,Chocó,NACIONAL,6376.753878049589,alta,3,3,34185775
2018,15879,Viracachá,Boyacá,TERRITORIAL,6350.446608100047,alta,188,125,12580167088
2018,27160,Cértegui,Chocó,TERRITORIAL,6345.382189084118,alta,26,24,17891555742
2018,81220,Cravo Norte,Arauca,TERRITORIAL,6327.0251047565225,alta,75,33,7921815095
2018,81591,Puerto Rondón,Arauca,TERRITORIAL,6287.952954470355,alta,129,66,8869983212
2018,19585,Puracé,Cauca,TERRITORIAL,6260.1389464716085,alta,11,9,699930587
2018,86320,Orito,Putumayo,TERRITORIAL,6086.061272100916,alta,825,436,88773968673
2018,15835,Turmequé,Boyacá,NACIONAL,6036.54835056799,alta,5,3,963552762
2018,23189,Ciénaga de Oro,Córdoba,TERRITORIAL,6006.307089901463,alta,373,240,132650034240
2018,05854,Valdivia,Antioquia,TERRITORIAL,5889.614510709445,alta,449,287,50900449255
2018,25394,La Palma,Cundinamarca,TERRITORIAL,5784.749344289151,alta,214,144,11079467800
2018,54820,Toledo,Norte de Santander,NACIONAL,5761.923071580726,alta,4,2,11501959
2018,08685,Santo Tomás,Atlántico,TERRITORIAL,5754.030631319658,alta,8,8,8704112327
2018,54001,Cúcuta,Norte de Santander,TERRITORIAL,5692.9912007441435,alta,5,5,1034999999
2018,15822,Tota,Boyacá,TERRITORIAL,5581.998131755866,alta,235,160,17820805412
2018,13620,San Cristóbal,Bolívar,TERRITORIAL,5535.206831489242,alta,21,18,6333047997
2018,25200,Cogua,Cundinamarca,NACIONAL,5477.659908902023,alta,2,2,1726400
2018,08436,Manatí,Atlántico,TERRITORIAL,5435.633051169538,alta,260,125,10416081185
2018,25328,Guayabal de Siquima,Cundinamarca,NACIONAL,5373.61583122469,alta,2,2,9738857
2018,20750,San Diego,Cesar,TERRITORIAL,5371.771013715445,alta,540,301,50596696035
2018,27050,Atrato,Chocó,TERRITORIAL,5319.852549925978,alta,6,6,2705894626
2018,47161,Cerro San Antonio,Magdalena,TERRITORIAL,5307.236406284142,alta,19,16,1385699990
2018,13001,Cartagena,Bolívar,OTRO,5288.481974142507,alta,2,2,337010604
2018,47288,Fundación,Magdalena,TERRITORIAL,5285.646142362484,alta,2035,522,32878629836
2018,76100,Bolívar,Valle del Cauca,TERRITORIAL,5271.785380732024,alta,165,63,12893197552
2018,08573,Puerto Colombia,Atlántico,TERRITORIAL,5198.700464915826,alta,160,123,31997286616
2018,15500,Oicatá,Boyacá,NACIONAL,5107.671676480318,alta,3,3,3740176
2018,27600,Río Quito,Chocó,TERRITORIAL,5102.04081632653,alta,2,2,42000000
2018,08560,Ponedera,Atlántico,TERRITORIAL,5099.1356168396405,alta,19,17,481651262
2018,05390,La Pintada,Antioquia,TERRITORIAL,5087.458241541251,alta,115,91,7915667078
2018,15317,Guacamayas,Boyacá,TERRITORIAL,5085.678396782145,alta,195,108,13390887718
2018,15176,Chiquinquirá,Boyacá,TERRITORIAL,5080.095812311836,alta,972,679,241322971814
2018,15600,Ráquira,Boyacá,TERRITORIAL,5025.014077459776,alta,234,133,21508677861
2018,73861,Venadillo,Tolima,TERRITORIAL,5011.581438513254,alta,155,122,6687554027
2018,25260,El Rosal,Cundinamarca,TERRITORIAL,4974.583215707755,alta,317,242,74472248575
2018,23815,Tuchín,Córdoba,TERRITORIAL,4818.517865213998,alta,125,79,14461643228
2018,68573,Puerto Parra,Santander,TERRITORIAL,4765.499813826514,alta,251,140,16159206481
2018,13650,San Fernando,Bolívar,TERRITORIAL,4619.878736749311,alta,19,12,893335261
2018,85230,Orocué,Casanare,TERRITORIAL,4441.450781263444,alta,427,253,51568152274
2018,08849,Usiacurí,Atlántico,TERRITORIAL,4388.108634330242,alta,214,129,7199594871
2018,73026,Alvarado,Tolima,TERRITORIAL,4384.865557742715,alta,324,159,6056599007
2018,47258,El Piñon,Magdalena,TERRITORIAL,4359.698027908651,alta,10,10,748572097
2018,52838,Túquerres,Nariño,TERRITORIAL,4351.9417115596925,alta,298,201,20202387536
2018,15776,Sutamarchán,Boyacá,TERRITORIAL,4233.849220902712,alta,181,123,17932624339
2018,47001,Santa Marta,Magdalena,TERRITORIAL,4224.730681136491,alta,8250,4248,1376581544734
2018,47798,Tenerife,Magdalena,TERRITORIAL,4219.27477893554,alta,428,133,6866532818
2018,15808,Tinjacá,Boyacá,TERRITORIAL,4146.934062925839,alta,169,125,21220764700
2018,13760,Soplaviento,Bolívar,TERRITORIAL,4095.0656970756218,alta,3,3,179000000
2018,19573,Puerto Tejada,Cauca,NACIONAL,3997.2293485198634,alta,29,15,129209972
2018,05615,Rionegro,Antioquia,TERRITORIAL,3944.6658600250057,alta,2891,1867,1015702632428
2018,50683,San Juan de Arama,Meta,TERRITORIAL,3939.186555971035,alta,208,109,12658983647
2018,13600,Río Viejo,Bolívar,TERRITORIAL,3924.7438928454394,alta,4,3,4215851437
2018,05690,Santo Domingo,Antioquia,TERRITORIAL,3915.8118786613863,alta,271,143,22640499849
2018,94001,Inírida,Guainía,NACIONAL,3886.143325253001,alta,20,15,1358018885
2018,13212,Córdoba,Bolívar,TERRITORIAL,3846.8256887369994,alta,62,24,6717770006
2018,15518,Pajarito,Boyacá,TERRITORIAL,3819.749128814609,alta,163,120,6206549575
2018,19300,Guachené,Cauca,TERRITORIAL,3804.226831781746,alta,420,291,93041083644
2018,97001,Mitú,Vaupés,NACIONAL,3799.2366127758246,alta,8,8,218830757
2018,15455,Miraflores,Boyacá,NACIONAL,3744.617083127344,alta,7,3,1541407938
2018,47703,San Zenón,Magdalena,TERRITORIAL,3739.915218104863,alta,132,76,6356788035
2018,47675,Salamina,Magdalena,TERRITORIAL,3721.731692383766,alta,337,177,33658025679
2018,05376,La Ceja,Antioquia,NACIONAL,3704.7824785050543,alta,22,9,110577222
2018,73443,Mariquita,Tolima,TERRITORIAL,3504.097003327712,alta,8,7,589722420
2018,76869,Vijes,Valle del Cauca,TERRITORIAL,3474.361608185899,alta,357,153,9471266894
2018,13458,Montecristo,Bolívar,TERRITORIAL,3453.123366320207,alta,149,119,6758518306
2018,99001,Puerto Carreño,Vichada,NACIONAL,3452.805425827558,alta,113,85,14753950546
2018,73443,Mariquita,Tolima,NACIONAL,3291.8295579958676,alta,16,14,729636291
2018,52260,El Tambo,Nariño,TERRITORIAL,3228.980476190126,alta,614,285,37131777966
2018,13430,Magangué,Bolívar,NACIONAL,3187.853525339677,alta,4,4,35006308
2018,68296,Galán,Santander,TERRITORIAL,3150.646429454044,alta,169,113,7151203517
2018,44420,La Jagua del Pilar,La Guajira,TERRITORIAL,3081.408357483658,alta,266,159,56609626955
2018,05480,Mutatá,Antioquia,TERRITORIAL,3047.9726990724603,alta,303,198,13007771124
2018,27800,Unguía,Chocó,TERRITORIAL,3038.680086026524,alta,15,9,2824174806
2018,68235,El Carmen de Chucurí,Santander,TERRITORIAL,3022.746726386125,alta,554,337,66965996410
2018,05353,Hispania,Antioquia,TERRITORIAL,3017.1548446673337,alta,512,179,10363537577
2018,41524,Palermo,Huila,NACIONAL,3009.534668517417,alta,4,4,9840000
2018,05887,Yarumal,Antioquia,NACIONAL,2937.092515633137,alta,24,17,263882484
2018,85250,Paz de Ariporo,Casanare,TERRITORIAL,2930.3474483108766,alta,483,318,80944353245
2018,25662,San Juan de Río Seco,Cundinamarca,NACIONAL,2840.1258183612376,alta,6,5,13730990
2018,27430,Medio Baudó,Chocó,TERRITORIAL,2835.0261960397643,alta,35,13,564108363
2018,19100,Bolívar,Cauca,NACIONAL,2830.9793666340643,alta,33,15,160933608
2018,91540,Puerto Nariño,Amazonas,TERRITORIAL,2823.8272799519386,alta,229,146,18207677736
2018,08141,Candelaria,Atlántico,TERRITORIAL,2768.027663834302,alta,137,92,5671556978
2018,20310,González,Cesar,TERRITORIAL,2756.396020814244,alta,130,83,6961436371
2018,52683,Sandoná,Nariño,TERRITORIAL,2701.8877388550713,alta,413,214,14679149706
2018,25151,Caqueza,Cundinamarca,NACIONAL,2686.25277224621,alta,7,6,47334422
2018,20621,La Paz,Cesar,TERRITORIAL,2671.8838436443457,alta,364,236,24301865348
2018,05313,Granada,Antioquia,TERRITORIAL,2628.880944792619,alta,245,186,8521082341
2018,52001,Pasto,Nariño,NACIONAL,2622.1421242597835,alta,838,600,44955660245
2018,76109,Buenaventura,Valle del Cauca,NACIONAL,2619.2257270830987,alta,262,210,28075025165
2018,15377,Labranzagrande,Boyacá,TERRITORIAL,2605.4783542854098,alta,218,140,7245575494
2018,73411,Líbano,Tolima,NACIONAL,2565.1270044585863,alta,27,15,15623745
2018,47245,El Banco,Magdalena,NACIONAL,2551.104968781412,alta,15,12,62853873
2018,15808,Tinjacá,Boyacá,NACIONAL,2550.2705695523737,alta,5,5,417934963
2018,85250,Paz de Ariporo,Casanare,NACIONAL,2529.2348185028713,alta,5,5,78230612
2018,18860,Valparaíso,Caquetá,TERRITORIAL,2511.8870774697257,alta,216,115,10235325318
2018,08770,Suan,Atlántico,TERRITORIAL,2497.189388947336,moderada,354,166,5720906083
2018,66400,La Virginia,Risaralda,NACIONAL,2494.685514733611,moderada,6,6,25679106
2018,85315,Sácama,Casanare,TERRITORIAL,2468.6446910404484,moderada,163,95,5201850124
2018,70233,El Roble,Sucre,TERRITORIAL,2459.478001439671,moderada,64,50,7194973307
2018,70523,Palmito,Sucre,NACIONAL,2457.6156408385937,moderada,16,14,440078027
2018,17001,Manizales,Caldas,TERRITORIAL,2447.6116412677384,moderada,11579,5298,1919962645193
2018,20175,Chimichagua,Cesar,TERRITORIAL,2442.0275477682208,moderada,226,171,12778846778
2018,41001,Neiva,Huila,NACIONAL,2437.4038646647728,moderada,573,474,73018294558
2018,47570,Puebloviejo,Magdalena,TERRITORIAL,2422.975956806897,moderada,334,177,10777099471
2018,73200,Coello,Tolima,TERRITORIAL,2421.2830554799652,moderada,397,232,8552738993
2018,47001,Santa Marta,Magdalena,NACIONAL,2417.177915042742,moderada,922,740,108657944734
2018,25398,La Peña,Cundinamarca,NACIONAL,2413.478438758588,moderada,8,6,33024200
2018,70124,Caimito,Sucre,NACIONAL,2401.1686345962885,moderada,5,5,9634000
2018,91001,Leticia,Amazonas,NO_DEFINIDO,2400.586877298322,moderada,10,6,21590000
