nombre_municipio;nombre_departamento;orden_entidad;HHI_Promedio;Suma_Inversion;Total_Contratos
no definido;valle del cauca;TERRITORIAL;10000.0;5250000;1
nocaima;cundinamarca;TERRITORIAL;10000.0;27071000;1
palermo;huila;TERRITORIAL;10000.0;4933000;1
san gil;santander;NACIONAL;10000.0;17281939;1
san juan de urabá;antioquia;TERRITORIAL;10000.0;40000000;1
pulí;cundinamarca;TERRITORIAL;10000.0;9001210;1
puerto colombia;atlántico;TERRITORIAL;10000.0;41140000;1
sabaneta;antioquia;TERRITORIAL;10000.0;9022860;1
salento;quindío;TERRITORIAL;10000.0;12400000;1
san carlos de guaroa;meta;TERRITORIAL;10000.0;50000000;1
riosucio;caldas;TERRITORIAL;10000.0;7200000;1
santiago;norte de santander;TERRITORIAL;10000.0;8000000;1
santa rosa de cabal;risaralda;TERRITORIAL;10000.0;32900000;1
santa marta;magdalena;TERRITORIAL;10000.0;7400000;1
santa marta;magdalena;NACIONAL;10000.0;920556346;1
san pablo;nariño;TERRITORIAL;10000.0;8000000;1
san martín;meta;TERRITORIAL;10000.0;5429000;1
soatá;boyacá;TERRITORIAL;10000.0;3500000;1
sibaté;cundinamarca;TERRITORIAL;10000.0;8485600;1
tunja;boyacá;NACIONAL;10000.0;45497181;1
tibú;norte de santander;TERRITORIAL;10000.0;9450000;1
sutamarchán;boyacá;TERRITORIAL;10000.0;57781644;1
turbaco;bolívar;TERRITORIAL;10000.0;7500000;1
valledupar;cesar;NACIONAL;10000.0;9243520;1
urumita;la guajira;TERRITORIAL;10000.0;39760000;1
apartadó;antioquia;TERRITORIAL;10000.0;31500000;1
almaguer;cauca;TERRITORIAL;10000.0;32400000;1
villanueva;casanare;TERRITORIAL;10000.0;24237761;1
valledupar;cesar;TERRITORIAL;10000.0;49005430;2
villeta;cundinamarca;NACIONAL;10000.0;46915011;1
villavicencio;meta;TERRITORIAL;10000.0;134234545;5
zipaquirá;cundinamarca;TERRITORIAL;10000.0;6825000;1
zona bananera;magdalena;TERRITORIAL;10000.0;7600000;1
