divipola_municipio,nombre_municipio,nombre_departamento,region,categoria
19785,Sucre,Cauca,Pacífico,Sexta
19807,Timbío,Cauca,Pacífico,Sexta
19809,Timbiquí,Cauca,Pacífico,Sexta
19821,Toribio,Cauca,Pacífico,Sexta
19824,Totoró,Cauca,Pacífico,Sexta
19845,Villa Rica,Cauca,Pacífico,Sexta
20001,Valledupar,Cesar,Caribe,Sexta
20011,Aguachica,Cesar,Caribe,Sexta
20013,Agustín Codazzi,Cesar,Caribe,Sexta
20032,Astrea,Cesar,Caribe,Sexta
20045,Becerril,Cesar,Caribe,Sexta
20060,Bosconia,Cesar,Caribe,Sexta
20175,Chimichagua,Cesar,Caribe,Sexta
20178,Chiriguaná,Cesar,Caribe,Sexta
20228,Curumaní,Cesar,Caribe,Sexta
20238,El Copey,Cesar,Caribe,Sexta
20250,El Paso,Cesar,Caribe,Sexta
20295,Gamarra,Cesar,Caribe,Sexta
20310,González,Cesar,Caribe,Sexta
20383,La Gloria,Cesar,Caribe,Sexta
20400,La Jagua de Ibirico,Cesar,Caribe,Sexta
20443,Manaure,Cesar,Caribe,Sexta
20517,Pailitas,Cesar,Caribe,Sexta
20550,Pelaya,Cesar,Caribe,Sexta
20570,Pueblo Bello,Cesar,Caribe,Sexta
20614,Río de Oro,Cesar,Caribe,Sexta
20621,La Paz,Cesar,Caribe,Sexta
20710,San Alberto,Cesar,Caribe,Sexta
20750,San Diego,Cesar,Caribe,Sexta
20770,San Martín,Cesar,Caribe,Sexta
20787,Tamalameque,Cesar,Caribe,Sexta
23001,Montería,Córdoba,Caribe,Sexta
23068,Ayapel,Córdoba,Caribe,Sexta
23079,Buenavista,Córdoba,Caribe,Sexta
23090,Canalete,Córdoba,Caribe,Sexta
23162,Cereté,Córdoba,Caribe,Sexta
23168,Chimá,Córdoba,Caribe,Sexta
23182,Chinú,Córdoba,Caribe,Sexta
23189,Ciénaga de Oro,Córdoba,Caribe,Sexta
23300,Cotorra,Córdoba,Caribe,Sexta
23350,La Apartada,Córdoba,Caribe,Sexta
23417,Lorica,Córdoba,Caribe,Sexta
23419,Los Córdobas,Córdoba,Caribe,Sexta
23464,Momil,Córdoba,Caribe,Sexta
23466,Montelíbano,Córdoba,Caribe,Sexta
23500,Moñitos,Córdoba,Caribe,Sexta
23555,Planeta Rica,Córdoba,Caribe,Sexta
23570,Pueblo Nuevo,Córdoba,Caribe,Sexta
23574,Puerto Escondido,Córdoba,Caribe,Sexta
23580,Puerto Libertador,Córdoba,Caribe,Sexta
23586,Purísima,Córdoba,Caribe,Sexta
23660,Sahagún,Córdoba,Caribe,Sexta
23670,San Andrés Sotavento,Córdoba,Caribe,Sexta
23672,San Antero,Córdoba,Caribe,Sexta
23675,San Bernardo del Viento,Córdoba,Caribe,Sexta
23678,San Carlos,Córdoba,Caribe,Sexta
23682,San José de Uré(1),Córdoba,Caribe,Sexta
23686,San Pelayo,Córdoba,Caribe,Sexta
23807,Tierralta,Córdoba,Caribe,Sexta
23815,Tuchín,Córdoba,Caribe,Sexta
23855,Valencia,Córdoba,Caribe,Sexta
25001,Agua de Dios,Cundinamarca,Andina,Sexta
25019,Albán,Cundinamarca,Andina,Sexta
25035,Anapoima,Cundinamarca,Andina,Sexta
25040,Anolaima,Cundinamarca,Andina,Sexta
25053,Arbeláez,Cundinamarca,Andina,Sexta
25086,Beltrán,Cundinamarca,Andina,Sexta
25095,Bituima,Cundinamarca,Andina,Sexta
25099,Bojacá,Cundinamarca,Andina,Sexta
25120,Cabrera,Cundinamarca,Andina,Sexta
25123,Cachipay,Cundinamarca,Andina,Sexta
25126,Cajicá,Cundinamarca,Andina,Sexta
